,recipe_title,raw_ingre,main_ingredients,ingredients,steps,method_type,cook_time,difficult,kcal,feature,raw_ingre_sep
0,마늘아몬드조림,"{'통마늘': '40알', '아몬드': '1줌', '통깨': '솔솔', '식용유': '약간', '간장': '2T', '물': '2T', '물엿': '1.5T'}","채소류,견과류","조미료,기타","1.먼저 깐 마늘은 물로 한번 헹구어 주시구요. 마늘이 너무 크다면 먹기좋게 반쪽으로 나눠 주세요,2.달궈진 팬에 식용유를 둘러 준 뒤 마늘을 넣고 튀기듯 노릇노릇 구워 줍니다. 굽다보면 마늘의 알싸한 향이 올라와 군침돌아요,3.마늘이 노릇노릇 구워지면 아몬드도 넣고 살짝 볶아줍니다아몬드 없으심 호두를 넣어주셔도 되고 그것도 없으시면 마늘만 넣고 만드셔도 되요,4.다 볶아지면 미리 준비해둔 양념을 부어 약불에서 타지 않게 조려주심 끝^^,5.정말 간단하게 만든 건강반찬 마늘아몬드 조림 완성이에요,6.물엿이 들어가서인지 윤기가 좌르르 흘러요.한번 먹어보니 알싸한 맛이 하나도 없고 정말 부드러우면서 맛있네요, 간장과 물엿의 양념들이 어우러져 단짠단짠한 맛이 밥과 함께 먹으면 참 맛있어요, 몸에 좋은 마늘과 아몬드의 조합이라 우리집 최애반찬으로 추천합니다^^암환자분들 항암반찬으로도 좋습니다.",볶음,20분 이내,아무나,594.0,,"채소류,견과류,조미료,기타"
1,갈릭마요새우,"{'냉동새우': '1줌', '마요네즈': '4큰술', '다진마늘': '1큰술', '설탕': '1큰술', '후추': '약간', '소금': '약간'}",해산물,조미료,"1.냉동 새우 한줌을 해동 시켜주세요. 그냥 실온에 두셔서 해동시키셔도 되고, 전자렌지 해동기능을 사용하셔도 되요. 전 좀 느지막히 꺼내놓아서 전자렌지에 해동했어요.전자레인지,2.전자렌지에 냉동새우를 잠깐 돌리는 동안 분량의 양념을 섞어서 만들어주세요. 마요네즈 4큰술, 다진마늘 1큰술, 설탕 1큰술조금 더 매콤하게 드시고 싶은 분들은 다져서 양념에 추가시키시면되요~,3.해동이 끝난 냉동새우는 후추와 소금을 뿌려서 잠깐 재워두었어요.,4.20분 정도 지나고 물기를 어느정도 제거해주고 기름을 두른 팬에 밑간한 새우를 넣고 앞뒤로 살짝 뒤집어 가며 익혀주세요~,5.어느정도 노릇노릇해지면 섞어놓은 양념을 넣고 같이 섞어주시면 되요,6.양념이 어느정도 노릇해 지면 불꺼서 마무리~!! 완성된 갈릭마요새우예요~~!!",볶음,15분 이내,아무나,359.0,,"해산물,조미료"
2,새우볶음밥,"{'새우': '6마리', '브로콜리': '50g', '밥': '2공기', '당근': '1/4개', '양파': '1/4개', '식용유': '1큰술', '굴소스': '1큰술', '다진 마늘': '1큰술', '소금': '약간', '후춧가루': '약간'}","채소류,해산물,곡류","채소류,조미료","1.새우를 손질합니다.  세척한 새우껍질를 벗기고 머리를 제거한 후 새우 등에 있는 내장을 빼줍니다. 내장이 잡히지 않는 경우 이쑤시개로 빼줍니다.새우6마리이쑤시개,2.달군 팬에 다진 마늘을 넣어 볶아줍니다.다진 마늘1큰술팬약불,3.마늘향이 올라오면 먹기 좋게 썰은 새우를 넣어 볶아줍니다.중불,4.새우가 반쯤 익으면 다진 당근과 양파를 넣어 볶아줍니다.당근1/4개, 양파1/4개,5.알맞게 자른 브로콜리를 넣어 볶아줍니다.브로콜리50g,6.브로콜리가 익으면 밥과 굴소스, 후춧가루, 소금을 넣어 볶아줍니다.밥2공기, 굴소스1큰술, 후춧가루 약간, 소금 약간",볶음,30분 이내,초급,635.0,,"채소류,해산물,곡물전분류,조미료"
3,대패덮밥,"{'대패 삼겹살': '400g', '대파': '2뿌리', '설탕': '2스푼', '맛간장(OR진간장)': '4스푼'}","채소류,육류","조미료,기타","1.궁중팬에 대패삼겹살을 넣어줍니다.대패삼겹살 400g,2.대파는 큼직하게 썰어서 준비합니다.대파 2뿌리,3.대패삼겹살이 골고루 익도록 볶아줍니다.강불,4.고기가 적당히 익으면 준비한 대파를 넣고 좀더 볶아줍니다.강불,5.대패삼겹살이 노릇해질 정도로 충분히 익혀준 뒤중불,6.설탕 2스푼을 넣고 한번 더 볶아줍니다.설탕 2스푼중불,7.설탕을 넣고 볶아주면 고기에 윤기가 돌아요.중불설탕을 넣을 때는 불을 중불로 줄여야 타지않게 볶을 수 있어요.,8.맛간장 또는 진간장을 4큰술 넣고 한번 더 볶아줍니다.중불입맛에 따라 간장의 양은 조절해야 해요!,9.삼겹살에 간장 양념이 골고루 베이도록 볶아주면 완성이에요^^,10.오목한 그릇에 따뜻한밥을 담고, 그 위에 볶은 고기를 올려주면 대패덥밥 완성!",볶음,30분 이내,초급,716.0,,"채소류,육류,조미료,기타"
4,칠리새우,"{'칵테일 새우': '1컵(종이컵)', '다진마늘': '1스푼', '버터': '1조각', '식용유': '2스푼', '케찹': '2스푼', '고추가루': '1스푼', '설탕': '1스푼', '간장': '1스푼', '식초': '1스푼', '물': '약간'}",해산물,"유제품,조미료,기타","1.냉동새우는 물에 넣고 해동시켜주세요새우꼬리부분은 취향에 따라 제거해주세요 !,2.칠리 소스 재료들을 모두 넣고 섞어주세요,3.팬에 식용유를 두르고 다진 마늘을 낮은 불에서 살짝 볶아주세요,4.마늘이 살짝 익을 때쯤 해동된 새우를 넣고 후추로 살짝 뿌려주세요,5.새우가 익어가면 소스를 넣고 소스와 새우가 함께 잘 버무려지게끔 물을 살짝 넣고 섞어주세요,6.마무리로 버터를 한조각 넣고 섞어주세요,7.밥을 준비해주세요,8.밥 위에 칠리새우를 올려주시면 완성입니다 !",볶음,30분 이내,아무나,472.0,,"해산물,유제품,조미료,기타"
5,비엔나 만두 강정,"{'만두(교자만두/물만두)': '10개', '비엔나소세지 작은거': '1봉', '물': '1T', '간장': '1T', '고추장': '2T', '케찹': '2T', '올리고당': '1.5T', '다진마늘': '1t', '참기름': '약간', '깨': '약간'}",조리가공품류,"조리가공품류,조미료,기타","1.만두는 기름을 두룬 팬에 노릇하게 구워줍니다.,2.비엔나 소세지에 원하는 모양대로 칼집을 내고 팬에 볶아줍니다. 양파가 있다면 같이 볶아줘도 좋아요:),3.비엔나가 어느정도 구워지면 만두를 같이 넣어줍니다.,4.양념장을 넣고 양념이 고루 베이도록 잘 섞어줍니다.,5.양념이 어느정도 베이면 위에 통깨를 뿌려 마무리합니다.,6.간식이나 술안주, 밑반찬으로 먹기 좋은 비엔나만두강정 완성!",볶음,15분 이내,아무나,450.0,,"조리가공품류,조미료,기타"
6,애호박 덮밥,"{'애호박': '1개', '양파': '1/2개', '굴소스': '1큰술', '고춧가루': '1큰술', '다진마늘': '1t', '참기름': '', '식용유': '', '달걀': ''}",채소류,"채소류,난류,조미료","1.덮밥으로 애호박을 볶을 때는 조금 큼직하게 채를 썰어 준다 식감도 더 좋고 흐물거리지 않아 좋다,2.큼직하게 채 썰은 호박과 양파를 준비,3.팬에 참기름 1 큰 술과 식용유를 살짝 넣어 야채 볶기,4.애호박과 양파를 볶아 준다,5.애호박이 반쯤 익었을 때쯤에 준비한 양념을 넣어 야채와 골고루 섞어 준다,6.굴소스,고춧가루, 다진마늘을  섞어 양념을 만든 뒤 넣어 준다,7.애호박에 간이 잘 베이고 익히려고 뚜껑을 닫고 약한 불에 조리했다 뚜껑을 닫지 않아도 되지만 그럼 수분이 빠져나가서  자꾸 뒤적거리게 되고 그럼  호박이 으깨지기도 하니까~,8.마지막에 대파를 넣고 참기름도 넣어 한 번 더 휘리릭 볶아서 수분을 날리면 끝 사실 너무 간단한 음식이라는 거^^,9.달걀 프라이와 같이 올려내니 먹음직스럽다 애호박 한 개와 양파만 있으면 10분 안에 만들어지는 간단 메뉴 달걀 프라이까지 올려내니 정말 성의 있어 보이는 한 끼가 되었다",볶음,15분 이내,아무나,284.0,,"채소류,난류,조미료"
7,매콤버섯덮밥,"{'느타리버섯': '80그램', '양파': '60그램', '대파': '1대', '밥': '1공기', '참깨': '약간', '간장': '1+1/2숟가락', '물': '3숟가락', '고추가루': '2숟가락', '참기름': '1/2숟가락', '설탕': '2/3숟가락'}","버섯류,곡류","채소류,조미료,기타","1.느타리버섯은 길게 찢어주시고 양파는 채썰어주세요 느타리버섯대신 새송이버섯이나 다른버섯을 사용하셔도 좋아요,2.양념장재료를 섞어 양념장을 만들어주세요,3.달군팬에 대파를 넣어주세요,4.양파를 넣고 센불로 20초정도 볶아주세요,5.버섯을 넣어 1분간 더 볶아주시다가 중간불로 줄여 양념장을 넣어 볶아주세요 더 맵게 드시고 싶은 분들은 여기에 청양고추를 더 넣어주시며 되세요,6.양념장재료가 스며들도록 30초정도 볶아주신후에 그릇에 밥을 담고 밥위에 올려주신후에 참깨를 솔솔 뿌려 주세요",볶음,30분 이내,아무나,320.0,,"채소류,버섯류,곡물전분류,조미료,기타"
8,숙주새우달걀볶음,"{'숙주': '2-3줌', '달걀': '1-2개', '새우': '10-12마리', '양파': '1/2개', '청양고추': '1-2개', '쪽파': '1줌', '굴소스': '2T', '간장': '1-1.5T', '다진마늘': '1T', '참기름': '0.5T', '후추': '톡톡', '통깨': '약간', '청주': '1T', '소금': '톡톡'}","채소류,해산물,난류","채소류,조미료","1.재료를 준비해 주세요. 숙주는 깨끗이 씻어 준비하고 양파, 청양고추, 쪽파는 적당한 크기로 썰어주세요. 달걀은 잘 풀어서 준비해주세요.,2.분량의 양념장을 모두 잘 섞어 준비해주세요.단맛을 위해 설탕이나 올리고당 살짝 추가하셔도 좋아요,3.새우는 청주 1T, 소금, 후추를 조금씩 넣어 버물버물 해주세요.,4.팬에 기름을 두르고,5.약불에서 달걀물을 부어 스크램블을 만들어 주세요. 살짝만 익힌 후 접시에 따로 담아두세요.,6.스크럼블 만든 팬에 그대로 기름을 조금 추가하고 양파 넣고 약 1분간 센불에서 볶아주세요.,7.그 다음 새우를 넣어 약 4-5분간 새우가 익을때까지 볶아주세요.,8.새우가 익으면 숙주를 듬뿍 올리고 양념장을 넣어주세요.,9.그리고 아까 만들어둔 스크럼블 에그, 대파, 청양고추를 넣어 약 1-2분간 뒤적거리다 불을 꺼주세요. 간보고 싱거우면 소금을 살짝 추가해주세요.",볶음,15분 이내,아무나,463.0,,"채소류,해산물,난류,조미료"
9,시금치달걀볶음,"{'시금치': '1/2단', '달걀': '3알', '기름': '2-3T', '다진파': '1줌', '소금': '3꼬집'}","채소류,난류",조미료,"1.시금치는 깨끗하게 씻은 뒤 먹기 좋게 잘라주세요.시금치 1/2단,2.달걀 3알은 소금 한꼬집 넣어 잘 풀어주세요.달걀 3알, 소금 한꼬집,3.팬에 기름 살짝 두르고 달걀물을 넣어 약불에서 젓가락으로 저어가며 스크럼블 에그를 만들어 주세요.기름 약간, 달걀물약불,4.만들어진 스크럼블 에그는 접시에 잠시 덜어놓아 주세요.,5.팬에 기름 2T, 다진파 한 줌을 넣어 약불에서 파기름을 만들어 주세요.기름 2T, 다진파 한줌약불,6.파향이 올라오면 센불로 올리고 시금치를 넣어주세요.시금치센불,7.시금치 숨이 살짝 죽으면 소금 두꼬집 정도 넣어 잘 섞어주세요.소금 2꼬집센불,8.그리고 아까 만들어 놓은 스크럼블 에그를 다시 넣어 잘 섞어주면 완성입니다:) 부족한 간은 소금으로 맞춰주세요.스크럼블 에그센불소금 대신 굴소스를 조금 넣어주셔도 좋아요.",볶음,15분 이내,아무나,298.0,10-19-19:00,"채소류,난류,조미료"
